Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sort csv,Firefox 144.0,,,23-10-2025 19:46:57,23-10-2025 19:48:27,"1m - 29,455s",PASSED
,,,,,,,
Test Cases/sort product,Firefox 144.0,,,23-10-2025 19:46:59,23-10-2025 19:47:23,"24,780s",PASSED
"DATA BINDING - {""sortType"":""az"",""expected"":""Sauce Labs Backpack""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,23-10-2025 19:47:00,23-10-2025 19:47:10,"10,283s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 144.0,,,23-10-2025 19:47:10,23-10-2025 19:47:12,"1,898s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,23-10-2025 19:47:12,23-10-2025 19:47:14,"1,327s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), ""standard_user"")",Firefox 144.0,,,23-10-2025 19:47:14,23-10-2025 19:47:15,"1,051s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,23-10-2025 19:47:15,23-10-2025 19:47:15,"0,318s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), ""secret_sauce"")",Firefox 144.0,,,23-10-2025 19:47:15,23-10-2025 19:47:16,"0,690s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,23-10-2025 19:47:16,23-10-2025 19:47:16,"0,288s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,23-10-2025 19:47:16,23-10-2025 19:47:17,"0,550s",PASSED
delay(5),Firefox 144.0,,,23-10-2025 19:47:17,23-10-2025 19:47:22,"5,135s",PASSED
"click(findTestObject(""Object Product Page/dropdownSort""))",Firefox 144.0,,,23-10-2025 19:47:22,23-10-2025 19:47:22,"0,511s",PASSED
"selectOptionByValue(findTestObject(""Object Product Page/dropdownSort""), sortType, false)",Firefox 144.0,,,23-10-2025 19:47:22,23-10-2025 19:47:23,"0,786s",PASSED
"firstProduct = getText(findTestObject(""Object Product Page/firstProductName""))",Firefox 144.0,,,23-10-2025 19:47:23,23-10-2025 19:47:23,"0,346s",PASSED
"if (sortType == ""az"")",Firefox 144.0,,,23-10-2025 19:47:23,23-10-2025 19:47:23,"0,062s",PASSED
,,,,,,,
Test Cases/sort product,Firefox 144.0,,,23-10-2025 19:47:24,23-10-2025 19:47:44,"20,746s",PASSED
"DATA BINDING - {""sortType"":""za"",""expected"":""Test.allTheThings() T-Shirt (Red)""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,23-10-2025 19:47:24,23-10-2025 19:47:32,"8,583s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 144.0,,,23-10-2025 19:47:32,23-10-2025 19:47:34,"1,418s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,23-10-2025 19:47:34,23-10-2025 19:47:35,"1,222s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), ""standard_user"")",Firefox 144.0,,,23-10-2025 19:47:35,23-10-2025 19:47:36,"0,829s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,23-10-2025 19:47:36,23-10-2025 19:47:36,"0,305s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), ""secret_sauce"")",Firefox 144.0,,,23-10-2025 19:47:36,23-10-2025 19:47:37,"0,656s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,23-10-2025 19:47:37,23-10-2025 19:47:37,"0,280s",PASSED
