Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login csv,Firefox 144.0,,,24-10-2025 15:32:12,24-10-2025 15:33:56,"1m - 43,937s",PASSED
,,,,,,,
Test Cases/saucedemo/TC01-login,Firefox 144.0,,,24-10-2025 15:32:14,24-10-2025 15:32:37,"23,453s",PASSED
"DATA BINDING - {""password"":""secret_sauce"",""expected"":"""",""testType"":""valid"",""username"":""standard_user""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,24-10-2025 15:32:16,24-10-2025 15:32:28,"11,550s",PASSED
navigateToUrl(baseUrl),Firefox 144.0,,,24-10-2025 15:32:28,24-10-2025 15:32:31,"3,409s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/usernameField""), 1)",Firefox 144.0,,,24-10-2025 15:32:31,24-10-2025 15:32:32,"1,239s",PASSED
"setText(findTestObject(""Object Login Page/usernameField""), username)",Firefox 144.0,,,24-10-2025 15:32:32,24-10-2025 15:32:33,"1,062s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/passwordField""), 1)",Firefox 144.0,,,24-10-2025 15:32:33,24-10-2025 15:32:34,"0,279s",PASSED
"setText(findTestObject(""Object Login Page/passwordField""), password)",Firefox 144.0,,,24-10-2025 15:32:34,24-10-2025 15:32:34,"0,721s",PASSED
"verifyElementPresent(findTestObject(""Object Login Page/loginBtn""), 1)",Firefox 144.0,,,24-10-2025 15:32:34,24-10-2025 15:32:35,"0,285s",PASSED
"click(findTestObject(""Object Login Page/loginBtn""))",Firefox 144.0,,,24-10-2025 15:32:35,24-10-2025 15:32:35,"0,630s",PASSED
"if (testType == ""valid"")",Firefox 144.0,,,24-10-2025 15:32:35,24-10-2025 15:32:36,"0,360s",PASSED
closeBrowser(),Firefox 144.0,,,24-10-2025 15:32:36,24-10-2025 15:32:37,"1,742s",PASSED
,,,,,,,
Test Cases/saucedemo/TC01-login,Firefox 144.0,,,24-10-2025 15:32:37,24-10-2025 15:32:52,"14,783s",PASSED
"DATA BINDING - {""password"":"""",""expected"":""Epic sadface: Password is required"",""testType"":""emptyPass"",""username"":""standard_user""}",,,,,,,
"openBrowser("""")",Firefox 144.0,,,24-10-2025 15:32:38,24-10-2025 15:32:44,"6,354s",PASSED
navigateToUrl(baseUrl),Firefox 144.0,,,24-10-2025 15:32:44,24-10-2025 15:32:46,"2,310s",PASSED
